year,age,cohort,sex,race,educ,realinc,gunlaw,grass,wtssall,age2,educ2
1972,30.0,1942.0,1,2,11.0,13537.0,1.0,,0.8893,900.0,121.0
1972,20.0,1952.0,2,1,13.0,,1.0,,1.3339,400.0,169.0
1972,22.0,1950.0,2,2,12.0,60915.0,2.0,,1.7786,484.0,144.0
1972,48.0,1924.0,1,2,6.0,43994.0,1.0,,1.3339,2304.0,36.0
1972,73.0,1899.0,1,1,8.0,13537.0,1.0,,1.3339,5329.0,64.0
1972,39.0,1933.0,1,1,12.0,37226.0,2.0,,1.3339,1521.0,144.0
1972,40.0,1932.0,1,2,12.0,13537.0,1.0,,0.8893,1600.0,144.0
1972,37.0,1935.0,1,1,17.0,74452.0,2.0,,1.7786,1369.0,289.0
1972,65.0,1907.0,2,1,14.0,13537.0,1.0,,0.8893,4225.0,196.0
1972,53.0,1919.0,1,2,8.0,24366.0,2.0,,0.8893,2809.0,64.0
1972,19.0,1953.0,2,1,12.0,,1.0,,1.3339,361.0,144.0
1972,20.0,1952.0,2,2,14.0,2707.0,1.0,,0.8893,400.0,196.0
1972,45.0,1927.0,1,1,10.0,30458.0,1.0,,1.7786,2025.0,100.0
1972,68.0,1904.0,2,1,7.0,,1.0,,1.3339,4624.0,49.0
1972,47.0,1925.0,2,1,12.0,43994.0,2.0,,1.3339,2209.0,144.0
1972,48.0,1924.0,2,1,13.0,18951.0,1.0,,0.8893,2304.0,169.0
1972,46.0,1926.0,2,1,9.0,43994.0,1.0,,0.8893,2116.0,81.0
1972,22.0,1950.0,2,1,12.0,,1.0,,0.8893,484.0,144.0
1972,68.0,1904.0,1,2,12.0,8122.0,1.0,,1.3339,4624.0,144.0
1972,29.0,1943.0,2,1,13.0,50763.0,1.0,,0.8893,841.0,169.0
1972,45.0,1927.0,1,1,12.0,43994.0,2.0,,0.8893,2025.0,144.0
1972,22.0,1950.0,1,1,12.0,37226.0,1.0,,1.3339,484.0,144.0
1972,46.0,1926.0,1,1,14.0,30458.0,2.0,,0.8893,2116.0,196.0
1972,66.0,1906.0,2,1,12.0,24366.0,1.0,,0.8893,4356.0,144.0
1972,26.0,1946.0,1,3,12.0,18951.0,1.0,,1.7786,676.0,144.0
1972,58.0,1914.0,2,1,12.0,18951.0,1.0,,1.3339,3364.0,144.0
1972,34.0,1938.0,2,1,11.0,30458.0,1.0,,0.8893,1156.0,121.0
1972,19.0,1953.0,1,2,13.0,24366.0,1.0,,1.7786,361.0,169.0
1972,78.0,1894.0,2,1,3.0,37226.0,1.0,,1.3339,6084.0,9.0
1972,80.0,1892.0,2,1,9.0,,2.0,,0.8893,6400.0,81.0
1972,26.0,1946.0,2,1,12.0,18951.0,1.0,,0.8893,676.0,144.0
1972,74.0,1898.0,1,1,10.0,8122.0,1.0,,0.8893,5476.0,100.0
1972,50.0,1922.0,1,2,8.0,18951.0,1.0,,0.8893,2500.0,64.0
1972,29.0,1943.0,2,2,12.0,13537.0,1.0,,0.8893,841.0,144.0
1972,45.0,1927.0,1,1,9.0,13537.0,1.0,,0.8893,2025.0,81.0
1972,55.0,1917.0,1,1,8.0,60915.0,2.0,,0.8893,3025.0,64.0
